Country,Protest Name,Start Date,Freedom Rating (Status),Triggers,Motivations,Peak Size,Key Participants,Duration,Outcomes,Active protests,Economic motivation?,Political motivation?,Corruption motivation?,Gender motivation?,Size category,Protests with a significant outcome,"Large protests (Over 100,000 protesting)",Violent government response,Long protests (more than 3 months),Coronavirus-related protests,Capital city
India,Citizenship law protests,19-Dec,Partly free,"Passage of a bill, the Citizen Amendment Act, amending India’s citizenship law. It offers conditional amnesty and a path to citizenship for non-Muslim religious minorities from three neighboring countries (Afghanistan, Bangladesh, and Pakistan) who did not migrate to the country legally. The bill contains no such exemptions for Muslim migrants, fueling criticism that it discriminates against Muslims.","Concern over rising Hindu nationalism under Prime Minister Narendra Modi, marginalization of Muslims, and opposition to migration (among citizens in northeastern India­).",">100,000","Students, young people (protesting discrimination against Muslims), citizens in northeastern India (protesting migration).",5 months,The citizenship law was finally implemented in March 2024 after being delayed by protests.,,,X,,,Tens of thousands,X,,,,,New Delhi
Guinea,Democratic transition protests,22-Jul,Partly free,The arrest of three opposition leaders at the hands of the military government.,Express frustration with the slow pace at which the military government has transitioned to civilian rule since the 2021 coup.,>100,"General public, trade unions",3 months in 2022; 3 months beginning February 2023; 2 days in February 2024.,No policy/leadership change in response to protests.,,,X,,,Hundreds,,,X,X,,Conakry
Netherlands,Farmers' protests,22-Jun,Free,"The government's announcement of plans to reduce emissions of nitrogen oxide and ammonia, which are both byproducts of agricultural processes.",Concerns over the regulations' impacts on agriculture and farmers' livelihoods.,">10,000",Farmers.,1 year; 1 month in February 2024,"Henk Staghouwer, minister of agriculture, nature and food quality, resigned. In April 2024, the EU approved legislation that eased the environmental rules of the Common Agricultural Policy (CAP). In July 2024, the EU approved a €105 million subsidy to encourage Dutch livestock farmers to reduce nitrogen pollution. In September 2024, the European Commission announced that EU member states could increase the CAP funds provided to farmers.",,X,,,,Tens of thousands,X,,,X,,Amsterdam
Italy,Farmers' protest 2024,Feb-24,Free,EU environmental regulations which farmers say undercut their ability to compete with foreign imports made using cheaper inputs and under fewer regulations. New EU legislation requires 4 percent of farmland to be left fallow to receive subsidies. High energy costs.,Call on Prime Minister Giorgia Meloni—whose coalition receives key support from farmers—to offer more help for farmers and block EU regulations that the farmers see as detrimental to their industry.,">1,000",Farmers,1 month,"Meloni told a delegation of farmers in early February 2024 that she would reintroduce a partial tax break for farmers. In April 2024, the EU approved legislation that eased the environmental rules of the Common Agricultural Policy (CAP). In September 2024, the European Commission announced that EU member states could increase the CAP funds provided to farmers.",,X,X,,,Thousands,X,,,,,Rome
Greece,Farmers' protest 2024,Jan-24,Free,EU environmental regulations such as new legislation requiring 4 percent of farmland to be left fallow in order to receive subsidies. Tax on diesel amid surging energy prices. Delayed compensation for damage to crops and livestock caused by flooding in the Thessaly region in 2023.,Demand a diesel tax credit and changes to EU subsidy policies.,">1,000",Farmers,1 month,"Prime Minister Kyriakos Mitsotakis offered farmers lower power bills for the next ten years and a rebate on fuel taxes. In April 2024, the EU approved legislation that eased the environmental rules of the Common Agricultural Policy (CAP).  In September 2024, the European Commission announced that EU member states could increase the CAP funds provided to farmers.",,X,X,,,Thousands,X,,X,,,Athens
Slovakia,Farmers' protest 2024,Feb-24,Free,"The EU waived duties and quotas for imports from Ukraine, which put pressure on prices for EU farmers who must follow EU environmental standards. Ongoing negotiations for a trade deal between the EU and the South American Mercosur bloc. New EU environmental regulations, including new subsidy rules which require 4 percent of farmland to be fallow. High energy prices are further undercutting farmers' profits.","Protest against EU environmental regulations, cheap food imports from Ukraine, high energy costs, and red tape.",>100,Farmers,1 day,"Prime Minister Robert Fico said Slovakia will maintain a ban on selected products from Ukraine. On March 15, the EU proposed legislation which, if passed, will ease the environmental rules of the Common Agricultural Policy. In September 2024, the European Commission announced that EU member states could increase the CAP funds provided to farmers.",,X,X,,,Hundreds,X,,,,,Bratislava
Czech Republic,Farmers' protest 2024,Feb-24,Free,"The EU waived duties and quotas for imports from Ukraine which put pressure on prices for EU farmers who must follow EU environmental standards. Ongoing negotiations for a trade deal between the EU and the South American Mercosur bloc. New EU environmental regulations, including new subsidy rules which require 4 percent of farmland to be fallow. High energy prices are further undercutting farmers' profits.","Protest against EU environmental regulations, cheap food imports from Ukraine, high energy costs, and red tape. The Agrarian Chamber has called for subsidies matching 2022 levels, the creation of programs to support employment in agriculture, and a reduction in property tax levied on farmers.",>100,"Farmers, the Agrarian Chamber",1 month,"In April 2024, the EU approved legislation that eased the environmental rules of the Common Agricultural Policy (CAP). In September 2024, the European Commission announced that EU member states could increase the CAP funds provided to farmers.",,X,X,,,Hundreds,X,,,,,Prague
Malta,Farmers' protest 2024,Feb-24,Free,"EU environmental regulations, including new subsidy rules which require 4 percent of farmland to be fallow, which farmers say undercuts their ability to compete with foreign imports. Lowering of trade barriers, including renewed negotiations for a trade deal between the EU and the South American Mercosur bloc. High energy prices.",Demand protection and support for farmers faced with extensive EU environmental regulations and competition from imports from outside the bloc.,>100,Farmers,2 weeks,"In April 2024, the EU approved legislation that eased the environmental rules of the Common Agricultural Policy (CAP). In September 2024, the European Commission announced that EU member states could increase the CAP funds provided to farmers",,X,X,,,Hundreds,X,,,,,Valletta
Kosovo,UCK ICC protest,23-Nov,Partly free,"A special war crimes court in The Hague is prosecuting former Kosovo Liberation Army (UCK) guerillas who are accused of committing war crimes against Serbia. The former president Hashim Thaçi was indicted for murder, torture, and persecution.","Members of the Social Democratic Party (PSD) protested the ICC prosecuting Kosovar leaders, claiming it is persecution.",<100,Social Democratic Party,1 day,Multiple arrests were made as protesters clashed with police in Pristina.,,,X,,,Dozens,,,,,,Pristina
Togo,Protest against constitutional reform,Mar-24,Partly free,"Ruling party lawmakers—many of whom are serving beyond when their term was set to expire—passed a new constitution in late March 2024, which awaits President Faure Gnassingbé's final approval. The new constitution grants parliament the power to choose the president, doing away with direct elections.",Demand a referendum be held to approve the new constitution.,">1,000",Opposition members,4 months,"No policy/leadership change in response to protests. On March 27, 2024, police broke up a news conference called by the opposition in Lomé, forcing opposition leaders and journalists out of the venue and out of the capital. In April 2024, the parliament gave the final approve to the new constitution.",,,X,,,Thousands,,,X,,,Lomé
Hungary,Protest against government interference in graft case,Mar-24,Not free,"The former secretary of state for infrastructure in the Ministry of National Development, Pál Völner, was charged in 2022 for accepting bribes from the former head of court bailiffs, György Schadl, who was also arrested. Both have pleaded not guilty. In March 2024, lawyer and businessman Péter Magyar, formerly close to the Fidesz government, published a recording of a conversation with Judit Varga, then his wife and Hungary's justice minister, in which Varga detailed an attempt by aides to Prime Minister Viktor Orbán's cabinet chief to interfere in the cases facing Völner and Schadl.",Demand Orbán and the chief prosecutor resign. Magyar plans to launch a new political party to challenge Orbán.,">1,000","Péter Magyar, opposition",1 day,No policy/leadership change in response to protests.,,,X,X,,Thousands,,,,,,Budapest
Russia,Noon Against Putin protest,Mar-24,Not free,"The 2024 election was neither free nor fair and served as a rubber stamp of approval for Putin. As such, prior to his death earlier in February 2024, political prisoner Alexei Navalny urged supporters to vote at noon on the last of three days of voting, Sunday, March 17, to display opposition to Putin, given most other avenues for dissent and protest are no longer accessible following authoritarian hardening in Russia after its invasion of Ukraine in February 2024.","Protest the rubber stamp process certain to keep Putin in power. Display opposition to Putin and his authoritarianism. Given escalated repression, simply appearing at polling stations at noon was the only way to safely express discontent.",">1,000","Yulia Galyamina, Alexei Navalny, Yulia Navalnaya",1 day,No policy/leadership change in response to protests. Putin was declared the winner of the presidential election.,,,X,,,Thousands,,,,,,Moscow
Russia,Alexei Navalny funeral demonstration,Mar-24,Not free,"Alexei Navalny died in an Arctic prison on February 16, 2024. Navalny's widow, Yulia Navalnaya, alleged that Navalny was murdered and Putin was responsible.","Protesters defied state orders barring protests to mourn and bid farewell to Navalny on March 1, 2024. Protesters, blocked by riot police from reaching the Moscow church where Navalny's funeral was held, chanted ""No to war,"" ""Russia without Putin,"" and ""Russia will be free,"" in defiance of Putin's hardening authoritarianism and crackdown on basic rights following the 2022 invasion of Ukraine.",">1,000",General public,1 day,No policy/leadership change in response to protests.,,,X,,,Thousands,,,X,,,Moscow
United Kingdom,Farmers' protest 2024,Mar-24,Free,"Farmers' frustration with trade deals signed since the country's exit from the European Union in 2020, which lack import checks and allow poorer quality food to enter the UK from countries with less regulation, undercutting domestic prices. Additionally, farmers have seen rising costs and a decrease in seasonal workers since Brexit.",Protest against post-Brexit trade deals and demand support for British farmers.,>100,Save British Farming,1 day,No policy/leadership change in response to protests.,,X,,,,Hundreds,,,,,,London
Argentina,Day of Remembrance for Truth and Justice protest,Mar-24,Free,"The fiftieth anniversary of the 1976 coup, which brought to power Argentina's military dictatorship, after which the junta embarked on a dirty war targeting suspected political dissidents on the left. An estimated 30,000 died or disappeared as a result between 1976 and 1983, though President Javier Milei estimates around 9,000 victims in what his critics say is an effort to whitewash the military dictatorship.",Remember the victims of the coup and the subsequent dirty wars. Express discontent with Milei's downplaying of the tragedy.,">10,000",General public; labor unions,1 day,No policy/leadership change in response to protests.,,,X,,,Tens of thousands,,,,,,Buenos Aires
Mexico,Justice for Ayotzinapa kidnapping protests,Mar-24,Free,"In 2014, forty-three male students at a teachers' college in Iguala, Guerrero, were kidnapped and apparently killed after they commandeered buses as part of an annual tradition to drive to Mexico City to mark the 1968 Tlatelolco massacre. A 2022 truth commission concluded that the disappearance was a ""state crime"" which involved local, state, and federal authorities.",Demand justice and answers concerning the 2014 kidnapping.,>10,General public,1 day,"Protesters knocked down the door to the presidential palace. President Andrés Manuel López Obrador described the demonstration as a ""very clear plan of provocation,"" and said that the government will not respond violently.",,,X,,,Dozens,,,,,,Mexico City
Slovakia,Protests against warming Russian relations,Mar-24,Free,Prime Minister Robert Fico's government has criticized Europe's military aid to Ukraine and pushed to renew ties with Russia.,Show support for Ukraine and oppose Fico's efforts to renew ties with Russia.,">1,000",Opposition members,1 day,No policy/leadership change in response to the protests.,,,X,,,Thousands,,,,,,Bratislava
Slovakia,Protest against public broadcasting takeover,Mar-24,Free,"Prime Minister Robert Fico's government has planned to replace the current public radio and television outlet with a new organization led by a seven-member council whose members are appointed by the government. The current broadcaster's director was elected by Parliament with a term set to end in 2027, but the plan (drafted by ""ultra-nationalist"" Culture Minister Martina Šimkovičová) is seen by many—including President Zuzana Čaputová, opposition parties, local journalists, international media organizations, and the European Commission—as an effort to politicize state media to the government's benefit. Fico has labeled several private media outlets as his enemies. Šimkovičová said the takeover is needed because  the current broadcaster is biased, giving space only to mainstream views and censoring the rest.","Demonstrators formed a human chain around the Bratislava building that houses the country's public television and radio outlets on March 27, 2024, to protest against the planned takeover. Protesters expressed the need for freedom of the press and denounced the politicization of public media.",">1,000",Opposition members,1 day,No policy/leadership change in response to the protests.,,,X,,,Thousands,,,,,,Bratislava
Serbia,LGBTQ protest against police abuse,Mar-24,Partly free,"Two LGBTQ individuals were reportedly subjected to abuse, torture, and sexual harassment in their apartment by police on February 26, 2024. LGBTQ people report facing discrimination and some fear targeted violence.",Demand police education on policing the already marginalized LGBTQ community. Raise public awareness on issues facing the LGBTQ community.,>100,"LGBTQ community, LGBTQ activists, LGBTQ allies",1 day,No policy/leadership change in response to protests.,,,X,,,Hundreds,,,,,,Belgrade
Kyrgyzstan,Protest for the release of border-delimitation protesters,Mar-24,Not free,"Eleven Kyrgyz politicians, journalists, and activists were arrested in October 2022 for their protest against the 2022 Kyrgyz-Uzbek border delimitation deal, in which Kyrgyzstan handed over the Kempir-Abad water reservoir to Uzbekistan. Sixteen other protesters were placed under house arrest for their involvement in the demonstrations.",Demand the immediate release of the eleven jailed protesters.,>100,"Residents of villages in the Naryn, Talas, and Jalal-Abad regions.",1 day,No policy/leadership change in response to protests.,,,X,,,Hundreds,,,,,,Bishkek
Kyrgyzstan,Protest against underage sexual violence,,Not free,"Police in Kyrgyzstan are investigating a case in which an underage girl was allegedly raped by numerous men near Bishkek. The parents of the girl allege that as many as ten men systematically raped their daughter for months and threatened her into silence. It is believed that many rape victims in the country do not come forward for fear of shame by socially conservative members of their communities. The protests occurred on March 8, International Women's Day.",Criticize the government for failing to address sexual violence against children.,>100,"Parents of victims of sexual violence, women's rights activists, general public",1 day,No policy/leadership change in response to protests.,,,,,X,Hundreds,,,,,,Bishkek
India,Protest for the release of Arvind Kejriwal,Mar-24,Partly free,"Arvind Kejriwal, New Delhi's top elected official and leader of the opposition Aam Aadmi Party (which is part of the opposition coalition Indian National Developmental Inclusive Alliance challenging Prime Minister Narendra Modi's Bharatiya Janata Party in the 2024 elections), was arrested based on accusations that he and his party had accepted $12 million in bribes from liquor contractors. Kejriwal’s party denies these accusations, claiming they were fabricated by allies of Modi's government.",Demand the release of Kejriwal and protest against what the opposition claims is the government's misuse of power to harass and weaken political opponents.,>100,Aam Aadmi Party,5 months,"In September 2024, Kejriwal was released from prison on bail.",,,X,X,,Hundreds,X,,X,X,,New Delhi
Indonesia,2024 election protests,Feb-24,Partly free,"While outgoing President Joko Widodo did not endorse a candidate for the February 2024 election, he made public appearances with the frontrunner Prabowo Subianto. Widodo's son is on the ballot as vice president to Prabowo Subianto. Prabowo Subianto won, but protesters attribute this to election fraud.",Denounce what is seen by protesters as an abuse of power to sway the election in favor of Prabowo Subianto. Demand the Indonesian election authority block Prabowo Subianto from taking office due to claims of fraud.,>100,"Students, opposition",1 week,No policy/leadership change in response to protests.,,,X,X,,Hundreds,,,,,,Jakarta
India,Protest against demolition of Muslim properties,Feb-24,Partly free,"A mosque and a seminary in the northern state of Uttarakhand were demolished because they were said to be built on public land. Amnesty International has documented ""unjust"" targeting of Muslim homes, businesses, and places of worship for demolition. During Prime Minister Narendra Modi's tenure, Hinduism has increasingly become a marker of national identity, despite India's founding as a multiethnic secular republic.",Oppose the demolition of Muslim property and denounce the rise of Hindu nationalism.,>100,"Muslims, Haldwani residents",1 day,No policy/leadership change in response to the protests. At least five people were killed in deadly clashes between rioters and police.,,,X,,,Hundreds,,,X,,,New Delhi
Kazakhstan,Protest against incarceration of Kazakhs in Xinjiang,Feb-24,Not free,"China has been accused of human rights violations against Kazakhs, Uyghurs, and other Turkic-speaking ethnic groups in Xinjiang. Protesters say many are detained ""simply because they are practicing Muslims.""","Relatives of several ethnic Kazakhs protested near the Chinese consulate in Almaty, Kazakhstan, to demand their loved ones imprisoned in Xinjiang be released.",>10,"Ethnic Kazakhs, Muslims, relatives of those detained in Xinjiang",1 day,No policy/leadership change in response to the protests.,,,X,,,Dozens,,,,,,Astana
Croatia,Protest against whistleblower jailing law,Feb-24,Free,"Draft law that would impose prison terms on those who leak details of police investigations. Police, prosecutors, judges, or any official who leaks information about police investigations can be sentenced to up to three years in jail. Prime Minister Andrej Plenković said the law does not apply if ""the information leaked was in the interest of the public.""","Journalists say the law is designed to block reports about corruption. The Association of Journalists said that journalists reporting leaked information about an investigation could become part of that investigation and have their emails, phones, and notes seized.",>100,Journalists,1 day,No policy/leadership change in response to the protests.,,,,X,,Hundreds,,,,,,Zagreb
United States,Take Our Border Back convoy protest,Jan-24,Free,"Ongoing constitutional crisis triggered by the standoff between the federal government and Texas Governor Greg Abbott at Eagle Pass over the unfurling of miles of concertina wire and buoy barriers in the Rio Grande to deter unauthorized border crossings. In early 2024, a bipartisan immigration bill supported by the White House fell apart. The White House blamed the bill's collapse on political pressure from former president Donald Trump, who said he would fight to ensure it was not passed.",The convoy's main aim is to draw attention to border security and oppose illegal immigration. They also display support for former president Trump.,>100,"Truckers, Trump supporters",1 week,No policy/leadership change in response to the protests.,,,X,,,Hundreds,,,,,,"Washington, DC"
India,"Our Tax, Our Right protest",Feb-24,Partly free,"Frustration among lawmakers and ministers from India's southern states against what they say is discrimination in the distribution of federal funds by Prime Minister Narendra Modi. India's five southern states are ruled by regional parties or rivals of the Bharatiya Janata Party. Karnataka contributes the second highest taxes in the country, thanks to its booming tech industry, but has seen its transfers decline from 4.71 percent of total national taxes collected to 3.64 percent in the last four years. General tension between more developed southern states and less developed northern states.","Display opposition to the current policy for federal funds distribution. Rally against population-based distribution of federal funds, which protesters say is discriminatory to southern states that controlled their population growth.",>100,Ministers and lawmakers from southern states; Karnataka Chief Minister Siddaramaiah,1 day,"Modi responded to the protests, telling parliament ""Our tax, our money . . . what kind of language is this? I don't discriminate against states.""",,X,X,,,Hundreds,,,,,,New Delhi
Haiti,Anti-Henry protests,Feb-24,Not free,"Under the unelected government of Prime Minister Ariel Henry who assumed office after the 2021 assassination of the country's last president, Jovenel Moïse, Haiti has seen violent gangs form alliances to expand their control across the capital of Port-au-Prince and the surrounding area.",Protesters demand Henry resign.,>100,General public,1 day,No policy/leadership change in response to the protests.,,,X,,,Hundreds,,,X,,,Port-au-Prince
Kosovo,Protest to keep the Serbian dinar,Feb-24,Partly free,"The Kosovo government announced that the Serbian dinar would no longer be used as legal tender, with all future payments in the country done in euros.","Serbs in northern Kosovo receive pensions and financial assistance from Serbia in dinar, and thus demand the dinar be accepted as legal tender.",">1,000",Kosovo Serbs,1 day,No policy/leadership change in response to the protests.,,X,X,,,Thousands,,,,,,Pristina
Albania,Anti-Rama corruption protests,Feb-24,Partly free,The government is investigating opposition leader Sali Berisha of the Democratic Party for corruption while he was Prime Minister between 2005 and 2013. February 20 was the anniversary of when pro-democracy activists tore down the statue of longtime communist dictator Enver Hoxha.,Protesters accuse Prime Minister Edi Rama of corruption and nepotism. They allege that the investigation into Berisha is driven by a political vendetta meant to silence opponents.,">1,000","The Democratic Party, Sali Berisha",1 day in February 2024,No policy/leadership change in response to the protests.,,,X,X,,Thousands,,,,,,Tirana
Pakistan,Anti-Isa protests,Feb-24,Partly free,Chief Justice of Pakistan Qazi Faez Isa dismissed charges of blasphemy against a member of the Ahmadi community jailed for distributing Islamic literature.,"Protesters claim Isa deviated from the constitutional definition of Muslim, which excludes Ahmadis, in his ruling.",>100,"Muslims, Tehreek-e-Labbaik Pakistan, supporters of Islamist parties",1 day,"The court released a statement saying the charges against Isa are ""absolutely wrong"" and deploring the ""vicious campaign"" against him.",,,X,,,Hundreds,,,,,,Islamabad
United Kingdom,Greenpeace protests,23-Aug,Free,"On July 31, the UK government announced that it would issue new licenses for oil and gas exploration in the North Sea",Anger over perceived government inaction to address climate change.,<100,Climate activists,Active,No policy/leadership change in response to the protests. Three protesters who climbed Prime Minister Rishi Sunak's North Yorkshire home in August 2023 were charged with criminal damage in February 2024.,X,,X,,,Tens,,,,,,London
Sri Lanka,Economic crisis protests,22-Mar,Partly free,"Rapid depreciation of the Sri Lankan rupee, soaring prices, and widespread shortages of goods. In January 2024, citizen outrage over taxes, the rise of fuel and electric costs, and a general rise in price levels reactivated protests.","Anger over the government's economic policies, including the perceived mismanagement of debt.",">10,000",United People's Power party and members of the opposition; general public.,8 months; recurred 1 month January 2024,"All 26 ministers of President Gotabaya Rajapaksa's cabinet resigned in April 2022. In May 2022, the prime minister, Mahinda Rajapaksa, resigned. President Gotabaya Rajapaksa named Ranil Wickremesinghe prime minister. In July 2022, protesters stormed President Gotabaya Rajapaksa's residence, forcing him to flee and resign. Parliament elected Ranil Wickremesinghe as president and then elected Dinesh Gunawardena as prime minister.",,X,X,,,Tens of thousands,X,,X,X,,Colombo
South Korea,Teacher protests,23-Sep,Free,A teacher who claimed to have suffered at the hands of abusive parents died by suicide in July 2023.,The immense pressure that South Korean teachers feel from parents who make excessive or impossible demands of them.,">100,000",Teachers,1 week,South Korea's government launched a task force to explore new education-related laws.,,,X,,,Hundreds of thousands,,X,,,,Seoul
Somalia,Somaliland port access protest,24-Jan,Not free,Ethiopia and Somaliland signed a pact giving Ethiopia access to Somaliland's ports on the Red Sea in exchange for eventual Ethiopian recognition of Somaliland.,Concern among Somalis regarding sovereignty over the disputed territory.,">10,000",General public,1 month,No policy/leadership change in response to the protests.,,,X,,,Tens of thousands,,,,,,Mogadishu
Slovakia,Truckers' border blockade,23-Dec,Free,The EU waived entry restrictions on Ukrainian lorries following the Russian invasion of Ukraine.,Frustration among Slovakian truck drivers who feel the markets they once supplied are being taken over by Ukrainian truck drivers due to their low prices.,>100,Truckers,1 month,No policy/leadership change in response to protests.,,X,,,,Hundreds,,,,,,Warsaw
Russia,Bashkortostan protest for the release of Fail Alsynov,24-Jan,Not free,Activist Fail Alsynov was found guilty of inciting ethnic hatred and sentenced to four years in a penal colony.,Demand the release of Fail Alsynov and denounce the court's ruling.,">3,000",Ethnic Bashkirs,1 day,Riot police were deployed to disperse and arrest those participating in the unsanctioned demonstration. Fail Alsynov remains in custody.,,,X,,,Thousands,,,X,,,Moscow
Panama,Anti-mining protests,23-Oct,Free,Canadian mining company First Quantum Minerals was awarded a contract by President Laurentino Cortizo that allowed the company to operate a copper mine in Panama for at least 20 years. Opponents alleged corruption.,"Call for the contract to be nullifed for fear of deforestation, environmental damage, and the ramifications of relinquishing control over critical minerals to a foreign corporation. Claims the contract was overly generous and  forged through corruption.",">10,000",SUNTRACS trade union.,3 months,"The Supreme Court ruled the twenty-year contract was unconstitutional, and  Cortizo directed First Quantum to stop mining operations in late November 2023. Protests have continued sporadically since the ruling.",,X,X,,,Tens of thousands,X,,,,,Panama City
Iraq,Kurdistan protest against IRGC strikes,24-Jan,Not free,"The Islamic Revolutionary Guards Corps launched strikes against an Israeli ""spy headquarters,"" killing an Israeli businessman and his family.",Condemn Iranian aggression and attacks on Iraqi territory.,">10,000",Iraqi Kurds,2 days,Baghdad recalled its ambassador to Iran and lodged a complaint with the UN Security Council.,,,X,,,Tens of thousands,,,,,,Baghdad
Iran,Protests for Armita Geravand,23-Oct,Not free,Death of Armita Geravand after an alleged confrontation with Iran's morality police in the Tehran subway over her lack of a headscarf.,"Protesters voiced frustration and chanted ""Death to Khamenei, the murderer.""",">1,000","General Public, Tehran residents",1 month,No policy/leadership change. Reports of violence used to disperse protests.,,,X,,,Thousands,,,X,,,Tehran
India,Manipur video protests,23-Jul,Partly free,"One day after ethno-religious violence broke out in the state of Manipur in May 2023, a group of Meitei men stripped two Kuki women naked and paraded them through the streets while groping them. It is alleged that the men gang raped the two women and killed two of their male family members. Video of the incident went viral after the internet was restored to Manipur two months later.",Outrage over the incident and eagerness for the violence to end.,">15,000",Women in Manipur.,2 months,"Prime Minister Narendra Modi said his heart was ""full of pain and anger"" over the video. On July 27, the government announced that the case would be referred to the Central Bureau of Investigation. On October 16, unidentified men fired on a crowd of women affiliated with the protests.",,,X,,X,Tens of thousands,,,,,,New Delhi
Germany,Peace in Ukraine protest,23-Feb,Free,The German government continued to arm Ukraine one year after the Russian invasion.,Fears that continued support for the war in Ukraine would escalate to affect Germans' lives in greater ways.,">13,000",Germany's far-right and political left.,2 years,No policy/leadership change in response to protests.,,,X,,,Tens of thousands,,,,X,,Berlin
Comoros,2024 election results protests,24-Jan,Partly free,"Incumbent President Azali Assoumani was declared the winner of the January 2024 election, which was denounced by the country's opposition parties as fraudulent. Assoumani has been accused of sidestepping the constitution and cracking down on dissent because he has previously outlawed protests.",Denounce election results that protesters claim are fraudulent.,">1,000",General public,1 week,No policy/leadership change in response to the protests.,,,X,,,Thousands,,,X,,,Moroni
Bangladesh,Economic protests,22-Dec,Partly free,"The opposition Bangladesh National Party (BNP) called for massive demonstrations to demand the resignation of the government led by Prime Minister Sheikh Hasina. In February 2023, the government shut down the BNP's newspaper.",Perceived failure to combat rising fuel prices and cost-of-living issues. Call for Hasina to resign.,">100,000",Members of the opposition BNP party.,2 years,"On August 7, Law, Justice and Parliamentary Affairs Minister Anisul Huq announced that the government would tone down its Digital Security Act; critics argued that the law had been used to silence journalists. BNP leader Mirza Fakhrul Islam Alamgir was arrested after a police officer was killed during clashes with protesters on October 28. Over 8,000 opposition activists were also arrested. Hasina's party won the January 7, 2024, general election in a landslide victory.",,X,X,,,Tens of thousands,,X,X,X,,Dhaka
Romania,Farmers' and truck drivers' protest 2024,24-Jan,Free,"High insurance rates and slow subsidy payments for farmers and truckers. Frustration with Ukrainian lorries, which truckers claim undercut their market status, and the cheap import of Ukrainian agricultural goods, which is hurting Romanian farmers.","Demand the government address high insurance premiums, excise taxes on diesel, and enact loan moratoriums. Also demand a shorter wait time at border crossings.",>100,General public,3 weeks,"Prime Minister Marcel Ciolacu promised a package including compensation of 100 euros (up to 280,000 euros) per hectare to farmers for losses due to the war in Ukraine and some reforms to address truckers' demands. In early February, the government also announced that it would take steps to increase subsidies for diesel, address high insurance rates, expedite subsidy payments, and reduce wait times at  border crossings.",,X,X,,,Hundreds,X,,,,,Bucharest
Greece,Train crash strikes and protests,23-Mar,Free,A train crash killed 57 people.,Outrage over perceived government underinvestment and understaffing in the rail network that may have contributed to the crash.,">60,000",General public.,2 weeks; 1 day on 2024 anniversary,The prime minister apologized for any responsibility that the government had borne for the accident. He promised a swift investigation and said the new transportation minister would release a safety improvement plan. He also promised to name a commission to investigate mismanagement of the country’s railway system.,,,X,,,Tens of thousands,X,,,,,Athens
Pakistan,Pashtun protection movement protests,Feb-18,Partly free,The extrajudicial killing of ethnic Pashtun Naqeebullah Mehsud by police.,"Anger over persistent human rights violations by security forces in minority areas, especially Pashtun regions.",">50,000",Ethnic Pashtuns.,1 year,No policy/leadership change in response to protests.,,,X,,,Hundreds,X,,X,,,Islamabad
Kenya,2022 election protest,Aug-22,Partly free,"Independent Electoral and Boundaries Commission declared William Ruto winner of presidential election despite some claims of ""opaque"" vote verification","Perceptions of unfairness in elections, especially against opposition candidate Raila Odinga.",">1,000","General public, especially supporters of Raila Odinga.",1 day,"No policy/leadership change in response to protests. On September 5, the Kenyan Supreme Court unanimously rejected the opposition challenge to the results of the presidential elections.",,,X,,,Thousands,,,,,,Nairobi
Australia,Australia Day protests,24-Jan,Free,"Australia Day, an annual holiday held on January 26 marking the anniversary of when Britain established the state of New South Wales.",Indigenous community members feel that the holiday celebrates their loss of sovereignty and injustices that have followed the arrival of Europeans.,">1,000",Indigenous community,1 day,No policy/leadership change in response to the protests.,,,X,,,Thousands,,,,,,Canberra
Cyprus,RAF Akrotiri base protests,24-Jan,Free,The British RAF Akrotiri base in Cyprus was used to launch strikes against the Houthi militia in Yemen.,"Pro-Palestinian activists protested the base and the use of land in Cyprus to ""support Israel in their onslaught of Gaza,"" which they claim the retaliatory strikes against the Houthis constitute.",>100,"Pro-Palestinian activists, United for Palestine (Cyprus)",1 day,No policy/leadership change in response to the protests.,,,X,,,Hundreds,,,,,,Nicosia
Kazakhstan,Bloody January protest,24-Jan,Not free,"Two-year anniversary of anti-government protests that spiraled into riots. Security forces fired on demonstrators, and at least 238 people were killed.",Demand punishment for those who killed protesters in 2022.,>10,Family and friends of those killed in January 2022 protests.,1 day,No policy/leadership change in response to the protests.,,,X,,,Dozens,,,,,,Astana
Papua New Guinea,Pay cut protest,24-Jan,Partly free,"The government had a dispute with police officers and other public services regarding wages, which protesters claim resulted in a pay cut.",Demand a pay raise and insist the government not raise taxes.,>100,"Police officers, public servants",1 day,The government declared a state of emergency and ordered the military to  restore order amid rioting. Prime Minister James Marape said that the wage cut was the result of fixing a computer glitch which accidentally paid out an extra $100 in the paychecks of public servants. Marape also affirmed that the government has no intention of raising taxes.,,X,,,,Thousands,,,X,,,Port Moresby
Poland,Anti-Tusk march,24-Jan,Free,The former PiS government's Interior Minister Mariusz Kamiński and Deputy Interior Minister Maciej Wasik were arrested after being convicted of abuse of power. The Polish court barred Prime Minister Donald Tusk's government from probing the Central Bank Head.,Protest against changes to state media and imprisonment of ministers under Tusk. Express dissatisfaction with and opposition to Tusk and the Civic Platform.,">10,000",PiS supporters,1 day,No policy/leadership change in response to the protests.,,,X,X,,Tens of thousands,,,,,,Warsaw
